"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.6666666666666666,,"Top2Acceptability",0.21293137254901923
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.6666666666666666,,"Gap",0.5183212787758898
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.6666666666666666,,"CondorcetEfficiency",0.3096828046744574
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.6666666666666666,,"CondorcetExistRate",0.599
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.6666666666666666,,"MidScore",0.874166666666667
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.8,,"Top1Acceptability",0.10062745098039198
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.8,,"Top2Acceptability",0.21473529411764666
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.8,,"Gap",0.5281789692827812
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.8,,"CondorcetEfficiency",0.332220367278798
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.8,,"CondorcetExistRate",0.599
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.8,,"MidScore",0.8021666666666674
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.95,,"Top1Acceptability",0.1271078431372547
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.95,,"Top2Acceptability",0.26786274509803876
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.95,,"Gap",0.528738424435422
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.95,,"CondorcetEfficiency",0.3013355592654424
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.95,,"CondorcetExistRate",0.599
"OppPrefs",7,51,0.15,2000,"Automatic",0.4,"QR",0.95,,"MidScore",0.5451666666666666
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"Top1Acceptability",0.09240196078431359
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"Top2Acceptability",0.19646078431372516
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"Gap",0.5340576175877788
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"CondorcetEfficiency",0.33801580333625986
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.55,,"MidScore",0.8741666666666668
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"Top1Acceptability",0.07666666666666655
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"Top2Acceptability",0.16559803921568597
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"Gap",0.5344861863154668
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"CondorcetEfficiency",0.21422300263388938
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.6666666666666666,,"MidScore",0.9461666666666669
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"Top1Acceptability",0.0807254901960783
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"Top2Acceptability",0.17972549019607809
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"Gap",0.5483265043242791
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"CondorcetEfficiency",0.2993854258121159
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.8,,"MidScore",0.8320000000000005
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.95,,"Top1Acceptability",0.1021568627450979
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.95,,"Top2Acceptability",0.2346960784313721
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.95,,"Gap",0.5616529580937278
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.95,,"CondorcetEfficiency",0.28884986830553117
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.95,,"CondorcetExistRate",0.5695
"OppPrefs",7,51,0.15,2000,"Automatic",0.5,"QR",0.95,,"MidScore",0.6326666666666667
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.55,,"Top1Acceptability",0.07896078431372539
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.55,,"Top2Acceptability",0.16455882352941148
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.55,,"Gap",0.5282868134984485
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.55,,"CondorcetEfficiency",0.28846153846153844
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.55,,"CondorcetExistRate",0.572
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.55,,"MidScore",0.8993333333333333
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.6666666666666666,,"Top1Acceptability",0.060392156862744996
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.6666666666666666,,"Top2Acceptability",0.13191176470588212
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.6666666666666666,,"Gap",0.5377318510656011
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.6666666666666666,,"CondorcetEfficiency",0.16346153846153846
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.6666666666666666,,"CondorcetExistRate",0.572
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.6666666666666666,,"MidScore",0.975
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.8,,"Top1Acceptability",0.06605882352941166
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.8,,"Top2Acceptability",0.15199999999999972
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.8,,"Gap",0.5585936856199356
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.8,,"CondorcetEfficiency",0.2701048951048951
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.8,,"CondorcetExistRate",0.572
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.8,,"MidScore",0.8501666666666673
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.95,,"Top1Acceptability",0.08221568627450969
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.95,,"Top2Acceptability",0.20479411764705843
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.95,,"Gap",0.5843718129449544
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.95,,"CondorcetEfficiency",0.27884615384615385
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.95,,"CondorcetExistRate",0.572
"OppPrefs",7,51,0.15,2000,"Automatic",0.6000000000000001,"QR",0.95,,"MidScore",0.6856666666666668
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.55,,"Top1Acceptability",0.05882352941176461
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.55,,"Top2Acceptability",0.12533333333333313
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.55,,"Gap",0.5486782828706126
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.55,,"CondorcetEfficiency",0.22617901828681425
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.55,,"CondorcetExistRate",0.5195
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.55,,"MidScore",0.9358333333333333
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.6666666666666666,,"Top1Acceptability",0.04387254901960778
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.6666666666666666,,"Top2Acceptability",0.10040196078431354
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.6666666666666666,,"Gap",0.5554803946053947
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.6666666666666666,,"CondorcetEfficiency",0.13859480269489893
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.6666666666666666,,"CondorcetExistRate",0.5195
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.6666666666666666,,"MidScore",0.9908333333333335
"OppPrefs",7,51,0.15,2000,"Automatic",0.7000000000000001,"QR",0.8,,"Top1Acceptability",0.04856862745098032
