"Model","m","n","phi","q","p","S","TopKList","MaxRank","lambda","Rule","Metric","Value"
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"QR","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","NoiseFlipRate",0.4735
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","CondorcetExistRate",0.921
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","CondorcetEfficiency",0.8659066232356135
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","MidScore",0.366
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","Top1Acceptability",0.3851274509803919
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","Top2Acceptability",0.7327745098039211
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"SDM","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","NoiseFlipRate",0.6795
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","CondorcetExistRate",0.921
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","CondorcetEfficiency",0.3311617806731813
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","MidScore",0.3185
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","Top1Acceptability",0.3335784313725488
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","Top2Acceptability",0.6629019607843136
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Fallback","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","NoiseFlipRate",0.4685
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","CondorcetExistRate",0.9135
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","CondorcetEfficiency",0.9025725232621784
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","MidScore",0.324
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","Top1Acceptability",0.39463725490196055
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","Top2Acceptability",0.7250980392156859
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Borda","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","NoiseFlipRate",0.6285
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","CondorcetExistRate",0.9135
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","CondorcetEfficiency",0.7422003284072249
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","MidScore",0.1585
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","Top1Acceptability",0.4074215686274507
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","Top2Acceptability",0.6907450980392155
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Plurality","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","NoiseFlipRate",0.494
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","CondorcetExistRate",0.9135
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","CondorcetEfficiency",0.9485495347564313
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","MidScore",0.339
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","Top1Acceptability",0.3871960784313723
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","Top2Acceptability",0.7257843137254899
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Coombs","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","NoiseFlipRate",0.616
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","CondorcetExistRate",0.9135
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","CondorcetEfficiency",0.668856048166393
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","MidScore",0.5525
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","Top1Acceptability",0.35227450980392133
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","Top2Acceptability",0.7411568627450976
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"QR","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","NoiseFlipRate",0.4805
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","CondorcetExistRate",0.9135
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","CondorcetEfficiency",0.8412698412698413
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","MidScore",0.413
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","Top1Acceptability",0.3804215686274507
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","Top2Acceptability",0.7352058823529408
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"SDM","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","NoiseFlipRate",0.657
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","CondorcetExistRate",0.9135
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","CondorcetEfficiency",0.3393541324575807
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","MidScore",0.3395
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","Top1Acceptability",0.3329607843137252
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","Top2Acceptability",0.6662549019607841
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.2,"Fallback","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","NoiseFlipRate",0.4745
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","CondorcetExistRate",0.926
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.30000000000000004,"Borda","CondorcetEfficiency",0.8995680345572354
