"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"Top1Acceptability",0.0338725490196078
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"Top2Acceptability",0.08703921568627437
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"Gap",0.592818695193695
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"CondorcetEfficiency",0.1791044776119403
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.8,,"MidScore",0.9231666666666671
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.85,,"Top1Acceptability",0.03544117647058819
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.85,,"Top2Acceptability",0.09414705882352926
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.85,,"Gap",0.6022244671994671
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.85,,"CondorcetEfficiency",0.22885572139303484
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.85,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.85,,"MidScore",0.8810000000000004
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.9,,"Top1Acceptability",0.03623529411764702
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.9,,"Top2Acceptability",0.09834313725490179
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.9,,"Gap",0.6062359074388316
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.9,,"CondorcetEfficiency",0.23482587064676616
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.9,,"CondorcetExistRate",0.5025
"OppPrefs",7,51,0.15,2000,"Automatic",0.8,"QR",0.9,,"MidScore",0.8696666666666671
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.55,,"Top1Acceptability",0.002852941176470587
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.55,,"Top2Acceptability",0.021352941176470568
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.55,,"Gap",0.5765750000000001
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.55,,"CondorcetEfficiency",0.028286189683860232
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.55,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.55,,"MidScore",0.9995
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6,,"Top1Acceptability",0.0028431372549019597
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6,,"Top2Acceptability",0.02131372549019606
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6,,"Gap",0.5762416666666667
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6,,"CondorcetEfficiency",0.028286189683860232
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6,,"MidScore",0.9996666666666667
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6666666666666666,,"Top1Acceptability",0.0028431372549019597
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6666666666666666,,"Top2Acceptability",0.02131372549019606
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6666666666666666,,"Gap",0.5762416666666667
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6666666666666666,,"CondorcetEfficiency",0.028286189683860232
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6666666666666666,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.6666666666666666,,"MidScore",0.9996666666666667
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.7,,"Top1Acceptability",0.0028333333333333322
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.7,,"Top2Acceptability",0.02131372549019606
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.7,,"Gap",0.5762583333333333
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.7,,"CondorcetEfficiency",0.02745424292845258
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.7,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.7,,"MidScore",0.9996666666666667
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.75,,"Top1Acceptability",0.002950980392156862
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.75,,"Top2Acceptability",0.02204901960784312
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.75,,"Gap",0.5802988095238095
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.75,,"CondorcetEfficiency",0.029950083194675542
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.75,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.75,,"MidScore",0.996
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.8,,"Top1Acceptability",0.0031274509803921554
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.8,,"Top2Acceptability",0.023460784313725468
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.8,,"Gap",0.5901273809523809
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.8,,"CondorcetEfficiency",0.03577371048252912
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.8,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.8,,"MidScore",0.9876666666666667
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.85,,"Top1Acceptability",0.0037450980392156855
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.85,,"Top2Acceptability",0.028176470588235265
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.85,,"Gap",0.6114174603174602
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.85,,"CondorcetEfficiency",0.051580698835274545
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.85,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.85,,"MidScore",0.9590000000000001
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.9,,"Top1Acceptability",0.004156862745098039
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.9,,"Top2Acceptability",0.031009803921568598
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.9,,"Gap",0.6259799603174603
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.9,,"CondorcetEfficiency",0.06239600665557404
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.9,,"CondorcetExistRate",0.601
"OppPrefs",7,51,0.15,2000,"Automatic",1,"QR",0.9,,"MidScore",0.942666666666667
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"SDM",,1.1,"Top1Acceptability",0.1811176470588232
