"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value"
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NoiseFlipRate",0.184
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetExistRate",1.
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetEfficiency",0.804
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","MidScore",0.07116666666666666
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top1Acceptability",0.7101078431372546
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top2Acceptability",0.9470784313725487
"Mallows",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top3Acceptability",0.9950294117647058
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NeverFirstRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NoiseFlipRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetExistRate",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetEfficiency",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","MidScore",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top1Acceptability",0.8481568627450972
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top2Acceptability",0.9779705882352937
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top3Acceptability",0.9967058823529413
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NeverFirstRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NoiseFlipRate",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetExistRate",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetEfficiency",1.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","MidScore",0.
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top1Acceptability",0.8481568627450972
"Mallows",10,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top2Acceptability",0.9779705882352937
